Facility Name,Hospital overall rating,Beds Available ,Cardio Rating,Neuro Rating,Ortho Rating,Doctors on Duty,Distance,Y
HIGHLANDS REGIONAL MEDICAL CENTER,5,26,5,4,5,6,6,1
HICKORY TRAIL HOSPITAL,3,2,5,2,2,14,19,0
SOUTHEAST MISSOURI MENTAL HLTH CTR,3,18,2,5,1,19,12,0
GRANVILLE HEALTH SYSTEMS,3,4,5,1,3,7,20,0
TERRELL STATE HOSPITAL,3,30,3,3,1,6,6,0
DETAR HEALTHCARE SYSTEM,3,30,1,3,5,7,21,1
HCA HOUSTON HEALTHCARE TOMBALL,3,17,5,2,1,12,8,0
FOUR WINDS,4,19,2,5,5,6,3,1
SAINT JOSEPH HOSPITAL,2,2,2,1,2,16,17,0
MODOC MEDICAL CENTER,4,19,1,4,5,7,11,1
SSM HEALTH ST ANTHONY HOSPITAL - SHAWNEE,4,12,1,5,5,20,29,0
AU MEDICAL CENTER,4,17,2,5,5,16,15,1
LORING HOSPITAL,3,5,2,2,3,20,17,0
RUSSELL MEDICAL CENTER,4,3,2,5,5,17,3,1
KEOKUK COUNTY HEALTH CENTER,3,21,4,3,1,19,15,0
RIDDLE MEMORIAL HOSPITAL,4,25,5,1,5,16,26,1
WRIGHT MEMORIAL HOSPITAL,4,18,5,4,3,15,18,0
BROOKDALE HOSPITAL MEDICAL CENTER,4,3,2,4,5,5,14,1
PIKEVILLE MEDICAL CENTER,4,30,2,5,4,20,14,1
MARY BLACK HEALTH SYSTEM SPARTANBURG,5,7,3,5,5,10,6,1
PLATTE COUNTY MEMORIAL HOSPITAL,5,6,5,4,5,19,21,1
WARREN GENERAL HOSPITAL,4,19,2,4,5,6,10,1
"SAINT FRANCIS HOSPITAL, INC",3,12,2,3,2,5,25,0
OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,3,24,2,1,5,13,12,1
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,4,27,1,5,5,6,24,1
ST JOSEPH MEMORIAL HOSPITAL,4,20,5,4,2,6,6,0
TYRONE REGIONAL HEALTH NETWORK,4,6,3,4,3,12,1,1
MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,4,4,3,5,2,18,6,0
ST VINCENT FISHERS HOSPITAL INC,3,21,2,2,3,8,5,1
CEDAR PARK REGIONAL MEDICAL CENTER,2,13,2,1,1,15,13,0
MADISON ST JOSEPH HEALTH CENTER,4,8,4,2,5,16,11,1
KECK HOSPITAL OF USC,3,21,1,5,1,18,5,0
LIBERTY HOSPITAL,4,6,5,4,3,7,15,0
LAKESIDE BEHAVIORAL HEALTH SYSTEM,3,28,3,1,4,20,9,1
VHS HARLINGEN HOSPITAL COMPANY LLC,4,10,4,4,2,7,12,0
ST FRANCIS COMMUNITY HOSPITAL,3,11,4,3,1,12,15,0
CASS COUNTY MEMORIAL HOSPITAL,4,20,4,4,3,16,18,0
CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,2,30,1,3,2,18,3,1
NORTH CAROLINA SPECIALTY HOSPITAL,5,29,4,5,4,5,12,1
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,3,15,1,3,5,7,18,1
NORTH COUNTRY HOSPITAL AND HEALTH CENTER,2,12,1,3,1,5,7,0
PUNXSUTAWNEY AREA HOSPITAL,2,11,1,1,4,7,22,0
RUMFORD  HOSPITAL,3,2,2,4,3,9,16,0
SANTA CLARA VALLEY MEDICAL CENTER,3,16,1,3,5,8,6,1
STEPHENS COUNTY HOSPITAL,4,11,3,4,5,17,15,1
TEMPLE UNIVERSITY HOSPITAL,4,8,4,2,5,13,9,1
DOCTORS HOSPITAL,3,12,4,1,2,9,15,0
CHRISTUS GOOD SHEPHERD MEDICAL CENTER MARSHALL,4,15,5,3,4,15,3,1
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,3,12,4,4,1,13,15,0
ATHOL MEMORIAL HOSPITAL,3,28,1,2,4,18,21,1
VAIL HEALTH HOSPITAL,4,8,4,5,3,5,21,0
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,3,21,3,3,2,5,27,0
JIM TALIAFERRO COMM MENTAL HEALTH CTR,3,20,1,3,4,11,19,0
ST VINCENT HEALTHCARE,4,9,4,1,5,6,12,1
LOVELACE WESTSIDE HOSPITAL,3,19,5,3,1,14,2,0
CITY HOSPITAL AT  WHITE ROCK,3,23,1,4,3,6,4,1
MASSAC MEMORIAL HOSPITAL,4,26,4,5,2,20,6,1
CLAY COUNTY MEDICAL CENTER,4,30,5,3,3,10,1,1
HIGHLAND DISTRICT HOSPITAL,3,29,3,5,1,7,30,0
TRUMAN MEDICAL CENTER HOSPITAL HILL,4,17,4,1,5,10,10,1
SUMMERS COUNTY ARH HOSPITAL,3,13,2,3,3,9,25,0
GILA REGIONAL MEDICAL CENTER,3,24,5,2,1,12,7,0
"PINNACLE REGIONAL HOSPITAL, INC",3,27,4,2,2,17,18,0
DILEY RIDGE MEDICAL CENTER,4,4,3,5,4,16,23,0
KAISER FOUNDATION HOSPITAL,2,26,2,3,1,20,3,0
KENSINGTON HOSPITAL,4,26,2,5,4,10,19,1
SHRINERS HOSPITALS FOR CHILDREN,4,30,3,4,5,12,26,1
MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,3,7,5,2,1,7,4,0
GREELEY COUNTY HEALTH SERVICES,3,28,5,1,3,19,4,1
OHIOHEALTH O'BLENESS HOSPITAL,3,17,2,4,1,6,22,0
ADVOCATE BROMENN MEDICAL CENTER,3,19,2,4,3,14,28,0
MAHNOMEN HEALTH CENTER,5,9,4,4,5,20,27,0
MARY BRIDGE CHILDREN'S HOSPITAL,4,12,5,2,5,13,6,1
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,3,5,4,1,2,17,11,0
NORTH TAMPA BEHAVIORAL HEALTH,4,4,3,5,3,18,25,0
WINNEBAGO MENTAL HEALTH INSTITUTE,2,4,3,1,2,8,25,0
PARK CITY HOSPITAL,3,5,4,1,2,7,13,0
FLOYD CHEROKEE MEDICAL CENTER,3,24,3,5,1,13,27,0
CHI ST ALEXIUS HEALTH DICKINSON,2,20,3,1,1,20,10,0
COLUMBUS REGIONAL HOSPITAL,5,25,5,3,5,11,5,1
ST LUKE'S CORNWALL HOSPITAL,4,15,2,3,5,13,27,0
FLOYD MEDICAL CENTER,4,6,5,4,1,5,14,0
STONEWALL MEMORIAL HOSPITAL,3,12,3,4,1,6,15,0
BROWNFIELD REGIONAL MEDICAL CENTER,3,27,3,5,1,15,12,0
INTERMOUNTAIN MEDICAL CENTER,3,25,1,5,1,6,16,0
MONONGAHELA VALLEY HOSPITAL,3,25,1,2,5,5,18,1
LITTLE FALLS HOSPITAL,4,8,5,3,4,6,5,1
HIGHLAND COMMUNITY  HOSPITAL,3,20,2,5,1,15,25,0
FISHERMEN'S COMMUNITY HOSPITAL,4,11,4,5,1,19,9,0
FRANKLIN WOODS COMMUNITY HOSPITAL,2,3,1,1,4,17,12,0
SACRED HEART MEDICAL CENTER - RIVERBEND,3,5,3,1,4,9,21,0
GOOD SAMARITAN HOSPITAL,4,19,4,2,5,18,12,1
SANFORD SHELDON MEDICAL CENTER,3,26,4,2,1,5,2,0
SEDAN CITY HOSPITAL,4,11,3,5,2,7,10,0
"COMMUNITY HOSPITAL, LLC",3,29,5,2,2,18,13,0
CROSBYTON CLINIC HOSPITAL,4,28,5,5,2,9,16,0
QUEEN OF THE VALLEY MEDICAL CENTER,3,20,1,2,4,8,13,1
IOWA SPECIALTY HOSPITAL-CLARION,4,23,4,5,2,17,23,0
PROVIDENCE HEALTH CENTER,2,28,2,1,2,10,9,0
PENINSULA REGIONAL MEDICAL CENTER,5,24,4,4,5,11,19,1
MCLAREN BAY REGION,3,18,1,1,5,17,16,1
SOUTH CENTRAL REG MED CTR,4,11,3,5,3,7,29,0
MASSACHUSETTS GENERAL HOSPITAL,3,9,2,2,4,11,25,0
LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,3,17,1,5,1,19,29,0
OZARKS MEDICAL CENTER,3,14,1,5,2,17,9,0
FORT MADISON COMMUNITY HOSPITAL,4,27,3,3,5,15,17,1
CHAPMAN GLOBAL MEDICAL CENTER,5,8,5,4,4,15,14,1
SANTA ROSA MEMORIAL HOSPITAL,3,3,1,3,4,10,26,0
ST JOSEPHS HOSPITAL,3,15,2,1,5,10,5,1
"MEMORIAL HOSPITAL, THE",4,28,5,3,4,17,5,1
SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,4,2,5,3,4,14,7,1
ST BERNARDINE MEDICAL CENTER,3,23,3,4,2,20,18,0
TEXOMA MEDICAL CENTER,4,8,5,4,2,8,1,0
ST ELIZABETH FLORENCE,3,16,4,2,2,8,17,0
UNION MEDICAL CENTER,3,18,1,5,1,9,23,0
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,4,20,5,2,4,18,20,1
ARBOR HEALTH MORTON HOSPITAL,4,7,3,5,4,12,6,1
HARDIN COUNTY GENERAL HOSPITAL,4,2,4,4,2,8,17,0
JOHNSON COUNTY COMMUNITY HOSPITAL,3,29,5,2,2,11,23,0
ST LUKE'S MINERS MEMORIAL HOSPITAL,3,14,3,1,4,6,7,1
AURORA ST LUKES MEDICAL CENTER,4,18,5,2,4,10,10,1
BOX BUTTE GENERAL HOSPITAL,4,24,5,5,1,5,3,0
MISSION COMMUNITY HOSPITAL,2,23,1,4,1,19,20,0
HEALTHMARK REGIONAL MEDICAL CENTER,3,6,3,1,3,18,21,0
ST VINCENT WARRICK,4,28,5,4,2,17,2,1
MARION REGIONAL MEDICAL CENTER,4,10,4,3,5,11,18,1
AULTMAN ORRVILLE HOSPITAL,5,18,5,5,5,17,25,1
UNITED HOSPITAL,4,9,3,3,4,5,7,1
SHAMROCK GENERAL HOSPITAL,4,7,4,5,2,12,4,0
INTERFAITH MEDICAL CENTER,3,13,4,2,2,20,16,0
DEPT OF STATE HOSPITALS - METROPOLITAN - PSY,3,12,2,3,2,8,25,0
OUR LADY OF THE ANGELS HOSPITAL,4,13,1,4,5,13,26,0
NORTHERN DUTCHESS HOSPITAL,2,14,3,1,2,6,16,0
SARATOGA HOSPITAL,4,10,3,5,2,19,24,0
OSCEOLA REGIONAL MEDICAL CENTER,3,8,2,3,2,20,4,0
RIVER FALLS AREA HOSPITAL,3,14,5,1,3,14,21,0
"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",3,22,5,2,2,6,2,1
WINDHAM COMM MEM HOSP & HATCH HOSP,2,28,2,1,1,7,27,0
OHIOHEALTH MANSFIELD HOSPITAL,2,30,4,1,1,10,7,0
ST VINCENT'S EAST,4,11,5,4,2,8,8,0
SAN ANGELO COMMUNITY MEDICAL CENTER,2,23,3,1,2,20,10,0
MIDWESTERN REGION MED CENTER,3,20,4,3,2,19,1,1
KAWEAH DELTA MEDICAL CENTER,4,27,5,4,1,10,2,0
GORDON MEMORIAL HOSPITAL DISTRICT,4,6,2,5,3,19,5,1
DEACONESS HOSPITAL INC,4,29,5,3,4,12,17,1
CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,3,9,4,1,3,5,10,0
LILLIAN M HUDSPETH MEMORIAL HOSPITAL,3,27,2,1,4,12,28,0
RADY CHILDREN'S HOSPITAL - SAN DIEGO,3,3,4,3,2,18,19,0
MAYO CLINIC HEALTH SYSTEM-OAKRIDGE,3,14,1,2,4,9,15,0
LYNN COUNTY HOSPITAL DISTRICT,3,8,2,3,2,11,5,0
HCA HOUSTON HEALTHCARE KINGWOOD,4,18,4,5,3,9,18,0
FAIRVIEW SOUTHDALE HOSPITAL,3,21,3,4,1,10,18,0
MORGAN COUNTY ARH HOSPITAL,3,20,2,3,2,18,29,0
JFK MEDICAL CENTER,3,15,2,4,1,6,27,0
RIVERWOODS BEHAVIORAL HEALTH SYSTEM,3,7,1,3,5,13,24,0
BLOUNT MEMORIAL HOSPITAL,3,28,3,3,2,7,26,0
ELLWOOD CITY MEDICAL CENTER,3,29,1,2,4,16,7,1
WHEATLAND MEMORIAL HOSPITAL,3,15,2,4,2,5,12,0
RIVER HOSPITAL CLINICS,4,19,3,5,2,16,6,0
ARIZONA SPECIALTY HOSPITAL,4,25,5,4,1,18,2,0
AVERA SACRED HEART HOSPITAL,3,22,4,2,3,9,2,1
INTEGRIS MIAMI HOSPITAL,5,7,5,5,4,7,25,0
"HOSPITAL PAVIA HATO REY, INC",3,12,5,1,3,7,10,0
MERCY HOSPITAL FORT SMITH,4,26,4,2,5,19,15,1
HENDRICKS COMMUNITY HOSPITAL,3,17,2,4,2,16,20,0
VIDANT ROANOKE CHOWAN HOSPITAL,5,27,4,5,5,19,3,1
KIRBY MEDICAL CENTER,3,4,5,2,1,17,13,0
PARRISH MEDICAL CENTER,3,30,2,2,5,17,26,1
SYCAMORE MEDICAL CENTER,4,29,3,4,3,14,6,1
EMMA PENDLETON BRADLEY HOSPITAL,4,7,5,3,4,7,28,0
LAKE HEALTH,3,14,2,4,2,18,21,0
WINDOM AREA HOSPITAL,2,29,1,2,1,16,23,0
WEISMAN CHILDRENS REHABILITATION HOSPITAL,4,24,3,3,4,6,10,1
OLEAN GENERAL HOSPITAL,3,22,2,4,2,18,17,0
GARFIELD COUNTY MEMORIAL HOSPITAL,4,7,5,4,3,5,6,0
KAISER FOUNDATION HOSPITAL - FRESNO,4,16,2,5,3,15,6,1
SOUTHWEST MS REGIONAL MEDICAL CENTER,4,6,3,4,3,15,6,0
BLUEFIELD REGIONAL MEDICAL CENTER,2,22,1,2,1,13,8,0
LOS ALAMITOS MEDICAL CENTER,2,27,2,1,3,11,3,1
SOUTHERN OHIO MEDICAL CENTER,2,14,2,3,1,11,13,0
SCRIPPS MERCY HOSPITAL,3,15,2,4,3,15,21,0
ST VINCENT'S BIRMINGHAM,4,22,5,5,2,5,15,0
KAISER FOUNDATION HOSPITAL - LOS ANGELES,2,10,1,2,3,15,2,1
PAUL B HALL REGIONAL MEDICAL CENTER,4,22,4,3,5,10,22,1
PICKENS COUNTY MEDICAL CENTER,4,21,3,5,4,5,8,1
FRANKLIN HOSPITAL,3,15,3,2,4,17,2,1
CHI HEALTH ST MARY'S,4,16,2,3,5,19,28,0
PRESBYTERIAN HOSPITAL,4,7,2,5,3,10,1,1
ATRIUM HEALTH LINCOLN,2,19,3,1,2,19,28,0
GUNNISON VALLEY HOSPITAL,4,23,4,2,4,16,6,1
APPLING HOSPITAL,3,3,1,2,5,19,22,0
MERCY MEDICAL CENTER-NEW HAMPTON,3,16,4,1,4,7,5,1
ST PETERSBURG GENERAL HOSPITAL,3,8,3,4,2,15,12,0
JONES REGIONAL MEDICAL CENTER,3,9,2,1,4,9,14,0
MORROW COUNTY HOSPITAL,4,29,3,3,5,9,5,1
CHILDREN'S HOME OF PITTSBURGH,4,12,3,2,5,15,20,1
WELLSTAR WEST GEORGIA MEDICAL CENTER,4,26,2,4,5,6,14,1
T J SAMSON COMMUNITY HOSPITAL,4,25,4,4,2,16,15,0
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,4,28,2,4,5,10,12,1
LINCOLN COUNTY MEDICAL CENTER,5,7,4,5,4,9,21,0
NORTH MISSISSIPPI MEDICAL CENTER,4,10,5,1,5,15,26,0
OGDEN REGIONAL MEDICAL CENTER,3,18,1,3,4,6,5,1
ST ANTHONY HOSPITAL,2,4,2,3,1,17,14,0
MERCY REGIONAL MEDICAL CENTER,5,2,5,4,5,18,23,0
MERCY GILBERT MEDICAL CENTER,2,6,3,1,2,9,6,0
UNIVERSITY HOSPITAL,3,16,4,3,1,18,25,0
LOGAN REGIONAL MEDICAL CENTER,2,11,3,1,2,18,22,0
LEWISGALE HOSPITAL MONTGOMERY,3,13,4,4,1,17,30,0
UMD UPPER CHESAPEAKE MEDICAL CENTER,2,12,1,2,3,8,25,0
FAIRVIEW PARK HOSPITAL,2,27,2,1,1,20,11,0
SAN RAMON REGIONAL MEDICAL CENTER,5,12,4,5,5,15,30,0
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH,4,26,4,2,5,17,15,1
TIOGA MEDICAL CENTER,3,9,2,3,3,19,9,0
ATOKA COUNTY MEDICAL CENTER,4,24,2,5,5,15,22,1
MARLBOROUGH HOSPITAL,3,16,4,1,2,16,18,0
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,5,9,5,3,5,6,8,1
G WERBER BRYAN PSYCH HOSP,4,10,2,4,4,17,11,1
PHOENIX INDIAN MEDICAL CENTER,4,10,3,4,4,13,23,0
GRANT REGIONAL HEALTH CENTER,2,24,3,1,1,7,16,0
HACKENSACK UNIVERSITY MEDICAL CENTER,4,11,5,5,2,13,15,0
NORTHWEST MEDICAL CENTER,3,18,3,2,4,13,14,1
MEDICAL CENTER OF THE ROCKIES,4,18,2,5,3,7,5,1
TWIN LAKES REGIONAL MEDICAL CENTER,4,15,5,3,4,12,2,1
HOWARD YOUNG MEDICAL CTR,3,13,4,2,2,9,7,0
PERSON MEMORIAL HOSPITAL,2,23,3,2,1,13,13,0
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,4,24,5,4,3,13,18,0
REDINGTON FAIRVIEW GENERAL HOSPITAL,3,14,1,4,4,14,6,1
SOUTH LINCOLN MEDICAL CENTER - CAH,3,17,2,1,5,19,6,1
CHI ST ALEXIUS HEALTH WILLISTON,2,18,2,1,2,16,6,0
ST FRANCIS HOSPITAL,3,8,5,2,2,12,20,0
SHERIDAN COUNTY HOSPITAL,3,10,3,3,3,20,7,0
HOUSTON MEDICAL CENTER,2,8,2,1,2,6,9,0
CALAIS REGIONAL HOSPITAL,3,9,4,3,1,8,15,0
UT HEALTH EAST TEXAS ATHENS HOSPITAL,4,12,3,5,4,7,17,0
SHERMAN HOSPITAL,2,8,1,2,1,11,3,0
ALLEGIANCE BEHAVIORAL HEALTH CENTER OF PLAINVIEW,3,6,4,1,2,15,11,0
COMANCHE COUNTY MEMORIAL HOSPITAL,2,22,2,3,1,11,26,0
NEMAHA VALLEY COMMUNITY HOSPITAL,3,11,2,3,4,18,11,1
CRAWFORD COUNTY MEMORIAL HOSPITAL,4,7,4,3,4,20,14,1
CLEVELAND CLINIC AVON HOSPITAL,5,26,5,3,5,9,12,1
LAKE CHARLES MEMORIAL HOSPITAL,3,2,3,3,3,11,21,0
MEMORIAL MEDICAL CENTER,2,14,1,2,3,8,5,0
CHRISTUS ST MICHAEL HEALTH SYSTEM,4,12,4,5,2,12,30,0
HEYWOOD HOSPITAL -,3,23,3,4,1,9,25,0
CAVALIER COUNTY MEMORIAL HOSPITAL ASSOCIATION,3,13,4,3,2,5,30,0
CONEY ISLAND HOSPITAL,4,16,3,2,5,5,22,1
HORSHAM CLINIC,2,18,2,1,2,10,21,0
BAYFRONT HEALTH BROOKSVILLE,2,8,2,1,2,15,21,0
"STEWARD NORTHSIDE MEDICAL CENTER, INC",4,11,5,1,5,9,17,1
INDIAN PATH COMMUNITY HOSPITAL,3,21,2,2,3,16,16,0
CLEAR VIEW BEHAVIORAL HEALTH,4,8,5,4,1,7,1,0
FORREST GENERAL HOSPITAL,4,22,2,3,5,15,13,1
BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON,3,22,2,1,4,16,21,1
MASONICARE HEALTH CENTER,5,4,4,5,5,10,24,0
ST MARYS REGIONAL MEDICAL CENTER,3,18,5,2,1,16,22,0
MERCY MEDICAL CENTER-NORTH IOWA,4,21,3,3,4,9,26,0
PUTNAM GENERAL HOSPITAL,2,27,1,2,1,12,11,0
CROCKETT MEDICAL CENTER,5,15,4,5,4,19,21,0
GREATER BINGHAMTON HEALTH CENTER,4,5,5,4,3,8,23,0
CHRISTUS OCHSNER ST PATRICK HOSPITAL,3,18,4,1,2,8,23,0
"LAKESIDE WOMEN'S HOSPITAL, A MEMBER OF INTEGRIS HE",3,13,4,1,4,17,9,1
UNIVERSITY OF MISSISSIPPI MED CENTER,3,19,1,4,4,17,5,1
CARTERSVILLE MEDICAL CENTER,4,7,3,3,5,20,15,1
PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,2,24,2,1,2,6,11,0
SAINT JAMES HOSPITAL,4,10,3,5,4,17,26,0
MUSC HEALTH MARION MEDICAL CENTER,4,14,3,2,5,12,7,1
BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,4,6,5,5,1,9,26,0
UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,3,27,4,2,2,13,5,1
"LAKELAND HOSPITAL, ST JOSEPH",2,10,1,1,2,11,6,0
SUTTER AMADOR HOSPITAL,4,5,3,4,3,8,4,0
MERCY HEALTH - FAIRFIELD HOSPITAL,3,13,2,5,1,6,25,0
OASIS BEHAVIORAL HEALTH HOSPITAL,4,4,2,3,5,11,24,0
COMMUNITY HOSPITAL OF SAN BERNARDINO,2,17,2,2,2,11,14,0
MILBANK AREA HOSPITAL/AVERA HEALTH,4,27,2,3,5,11,21,1
KAISER PERMANENTE PSYCHIATRIC HEALTH FACILITY-SANT,5,12,4,4,5,7,4,1
FAIRFIELD MEMORIAL HOSPITAL 1,3,22,1,5,2,5,29,0
KALKASKA MEMORIAL HEALTH CENTER,2,17,3,1,2,14,24,0
COLEMAN COUNTY MEDICAL CENTER COMPANY,3,16,1,4,3,5,19,0
ROPER HOSPITAL,3,2,4,1,3,16,16,0
JOHNSON COUNTY HOSPITAL,3,23,5,1,1,16,14,0
TRISTAR CENTENNIAL MEDICAL CENTER,3,30,4,3,1,6,13,0
BAPTIST MEMORIAL HOSPITAL UNION COUNTY,4,9,5,2,4,20,30,0
JEFFERSON COUNTY HEALTH CENTER,3,2,4,2,1,8,6,0
"TRANSYLVANIA REGIONAL HOSPITAL, INC",3,5,2,3,3,15,14,0
LOURDES HOSPITAL,4,19,3,5,3,6,29,0
MULTICARE GOOD SAMARITAN HOSPITAL,3,3,5,2,1,15,17,0
SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,3,13,2,3,3,6,7,0
HCA HOUSTON HEALTHCARE CLEAR LAKE,2,5,1,1,2,5,9,0
UF HEALTH SHANDS HOSPITAL,1,19,1,1,1,13,3,0
ST PETER'S HOSPITAL,3,14,5,3,1,12,8,0
UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,3,4,4,3,1,17,12,0
PROSSER MEMORIAL HOSPITAL,4,26,5,2,5,14,25,1
HAMPTON BEHAVIORAL HEALTH SYSTEM,5,22,4,5,5,15,19,1
MCLEOD LORIS  HOSPITAL,4,15,1,5,5,18,5,1
DAVIS HOSPITAL AND MEDICAL CENTER,4,11,5,2,5,13,2,1
KINGSBROOK JEWISH MEDICAL CENTER,4,21,4,2,5,15,9,1
MEDICAL CENTER OF TRINITY,3,9,1,4,3,18,26,0
PIH HOSPITAL - DOWNEY,4,4,2,5,3,10,15,0
"JOHNS HOPKINS HOSPITAL, THE",3,2,4,3,2,19,19,0
"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",3,22,5,2,2,16,25,0
NEW ORLEANS EAST HOSPITAL,3,25,4,2,1,8,23,0
DELTA MEDICAL CENTER,2,27,2,1,1,17,10,0
LEWIS COUNTY GENERAL HOSPITAL,3,4,1,2,4,17,4,1
JACKSON MEMORIAL HOSPITAL,3,18,4,3,1,17,11,0
PROVIDENCE SEASIDE HOSPITAL,4,28,3,5,2,7,21,0
WEBSTER GENERAL HOSPITAL/ SWING BED,2,30,1,3,1,14,17,0
"PARKSIDE, INC",3,28,1,2,5,7,2,1
PIH HEALTH HOSPITAL-WHITTIER,3,25,2,5,1,20,26,0
HOLYOKE MEDICAL CENTER,2,6,2,3,1,16,9,0
UT HEALTH EAST TEXAS QUITMAN HOSPITAL,3,2,3,1,3,13,6,0
UNIVERSITY MEDICAL CENTER NEW ORLEANS,4,30,5,1,4,7,10,1
MERCYONE DYERSVILLE MEDICAL CENTER,4,13,4,1,5,6,27,0
COMMUNITY HOWARD REGIONAL HEALTH INC,3,23,5,2,2,10,7,0
"APOLLO BEHAVIORAL HEALTH HOSPITAL, L L C",4,6,4,5,2,6,19,0
GARFIELD MEDICAL CENTER,3,22,4,2,3,19,27,0
MARY LANNING HEALTHCARE,4,28,5,2,3,19,3,1
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",4,4,2,5,5,18,27,0
STRATEGIC BEHAVORIAL CENTER-GARNER,4,12,1,4,5,5,15,1
LINCOLN TRAIL BEHAVIORAL HEALTH SYSTEM,3,12,2,2,4,18,26,0
"ST JOHN MEDICAL CENTER, INC",3,20,2,4,1,17,15,0
KENTUCKY RIVER MEDICAL CENTER,2,8,4,1,1,7,25,0
COLORADO CANYONS HOSPITAL AND MEDICAL CENTER,3,9,4,2,2,10,19,0
NORTHWEST MISSISSIPPI MEDICAL CENTER,4,14,4,5,1,6,30,0
CASS LAKE INDIAN HEALTH SERVICES HOSPITAL,4,19,2,4,4,19,21,1
RAULERSON HOSPITAL,4,24,5,2,5,13,17,1
GRANDVIEW MEDICAL CENTER,3,28,1,3,3,11,13,1
ENGLEWOOD COMMUNITY HOSPITAL,2,20,1,4,1,19,4,0
SOUTHERN VIRGINIA MENTAL HEALTH INSTITUTE,4,29,5,3,2,7,25,0
PIONEERS MEDICAL CENTER,2,13,1,3,1,20,15,0
CROZER CHESTER MEDICAL CENTER,3,17,2,1,5,13,26,0
FERRY COUNTY MEMORIAL HOSPITAL,4,22,5,1,4,20,18,1
WHITE MEMORIAL MEDICAL CENTER,3,28,3,4,1,12,8,0
CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,4,15,4,3,3,18,28,0
COLLETON MEDICAL CENTER,3,3,2,2,4,5,16,0
BANNER IRONWOOD MEDICAL CENTER,5,20,5,5,5,12,20,1
MARINERS HOSPITAL,3,4,2,3,4,15,4,1
STILLWATER MEDICAL - PERRY,2,10,1,1,4,12,9,1
THE MEDICAL CENTER AT ALBANY,4,14,5,4,2,11,19,0
"MONTGOMERY GENERAL HOSPITAL, INC",2,6,2,3,1,14,21,0
BIG SPRING STATE HOSPITAL,4,24,5,2,5,18,21,1
ST ANTHONYS HOSPITAL,3,29,5,2,2,14,10,0
MERCY HOSPITAL-FORT SCOTT,4,12,4,5,3,8,25,0
PENOBSCOT VALLEY HOSPITAL,4,26,1,5,5,15,2,1
FLUSHING HOSPITAL MEDICAL CENTER,2,26,1,1,3,19,30,0
CHOCTAW REGIONAL MEDICAL CENTER,4,8,4,3,3,5,24,0
DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,3,3,4,2,2,9,17,0
CHILDREN'S HOSPITAL NMC,3,25,2,2,3,6,12,1
MERCY HEALTH-ALLEN HOSPITAL,2,29,1,3,2,15,24,0
GUADALUPE COUNTY HOSPITAL,4,3,5,2,3,6,19,0
HIGHLANDS HOSPITAL,2,22,1,1,3,19,4,1
KANE COUNTY HOSPITAL,2,25,1,1,4,19,29,0
STEWARD MELBOURNE HOSPITAL,3,3,1,1,5,7,27,0
MEDICAL CENTER BARBOUR,4,28,5,2,5,10,5,1
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",3,7,1,5,3,17,13,0
MEDICAL CITY ARLINGTON,3,15,1,4,2,14,30,0
FAIRMOUNT BEHAVIORAL HEALTH SYSTEM,3,30,2,5,1,18,30,0
CENTERSTONE OF FLORIDA,4,24,5,3,3,12,26,0
CLIFTON FINE HOSPITAL,2,23,2,2,1,18,28,0
BAKERSFIELD MEMORIAL HOSPITAL,4,7,2,4,4,14,28,0
MCLAREN GREATER LANSING,3,25,1,2,4,16,24,0
DUKE UNIVERSITY HOSPITAL,4,8,3,4,3,11,13,0
CHEYENNE COUNTY HOSPITAL,4,17,4,2,5,10,13,1
